iter	Passed	Remaining
1003	6673	26562
1004	6679	26552
1005	6684	26538
1006	6688	26523
1007	6694	26511
1008	6698	26496
1009	6703	26481
1010	6707	26466
1011	6713	26455
1012	6717	26439
1013	6722	26425
1014	6729	26420
1015	6734	26409
1016	6740	26398
1017	6746	26390
1018	6751	26375
1019	6755	26359
1020	6761	26352
1021	6767	26342
1022	6772	26327
1023	6779	26325
1024	6786	26316
1025	6794	26316
1026	6802	26313
1027	6808	26306
1028	6813	26295
1029	6818	26280
1030	6826	26279
1031	6832	26268
1032	6836	26255
1033	6843	26248
1034	6847	26232
1035	6851	26217
1036	6858	26209
1037	6862	26193
1038	6866	26177
1039	6872	26169
1040	6878	26158
1041	6882	26142
1042	6887	26130
1043	6892	26116
1044	6896	26102
1045	6901	26086
1046	6907	26079
1047	6912	26066
1048	6916	26051
1049	6922	26043
1050	6927	26031
1051	6932	26015
1052	6938	26008
1053	6943	25996
1054	6948	25982
1055	6954	25973
1056	6959	25960
1057	6965	25951
1058	6970	25941
1059	6976	25930
1060	6981	25920
1061	6988	25913
1062	6994	25906
1063	7004	25910
1064	7009	25900
1065	7018	25899
1066	7023	25888
1067	7028	25876
1068	7034	25868
1069	7039	25854
1070	7043	25839
1071	7050	25833
1072	7054	25819
1073	7059	25806
1074	7065	25798
1075	7071	25787
1076	7075	25772
1077	7082	25766
1078	7086	25753
1079	7091	25738
1080	7098	25733
1081	7102	25718
1082	7107	25706
1083	7115	25705
1084	7121	25696
1085	7126	25683
1086	7132	25675
1087	7137	25662
1088	7142	25651
1089	7148	25643
1090	7152	25628
1091	7157	25613
1092	7163	25608
1093	7168	25595
1094	7174	25584
1095	7180	25578
1096	7186	25567
1097	7192	25559
1098	7199	25554
1099	7208	25559
1100	7215	25553
1101	7220	25541
1102	7227	25536
1103	7232	25524
1104	7237	25510
1105	7244	25506
1106	7248	25492
1107	7253	25477
1108	7259	25471
1109	7264	25457
1110	7268	25443
1111	7274	25436
1112	7280	25424
1113	7284	25409
1114	7290	25402
1115	7295	25391
1116	7300	25377
1117	7307	25373
1118	7312	25363
1119	7317	25351
1120	7325	25346
1121	7329	25332
1122	7333	25318
1123	7340	25311
1124	7344	25298
1125	7349	25284
1126	7356	25280
1127	7361	25268
1128	7365	25253
1129	7373	25253
1130	7379	25243
1131	7384	25233
1132	7393	25232
1133	7400	25229
1134	7406	25221
1135	7412	25212
1136	7418	25203
1137	7423	25194
1138	7428	25181
1139	7433	25169
1140	7439	25160
1141	7443	25146
1142	7447	25131
1143	7453	25123
1144	7457	25109
1145	7462	25098
1146	7469	25090
1147	7473	25076
1148	7477	25062
1149	7482	25051
1150	7488	25041
1151	7492	25027
1152	7497	25015
1153	7503	25007
1154	7508	24995
1155	7514	24986
1156	7519	24974
1157	7523	24962
1158	7527	24948
1159	7534	24941
1160	7539	24929
1161	7543	24916
1162	7550	24909
1163	7555	24898
1164	7559	24886
1165	7566	24879
1166	7572	24872
1167	7579	24866
1168	7585	24860
1169	7595	24863
1170	7601	24855
1171	7606	24845
1172	7613	24838
1173	7618	24829
1174	7624	24819
1175	7631	24815
1176	7635	24802
1177	7640	24789
1178	7647	24784
1179	7651	24771
1180	7656	24758
1181	7663	24752
1182	7667	24739
1183	7671	24726
1184	7677	24717
1185	7682	24704
1186	7686	24691
1187	7692	24684
1188	7697	24671
1189	7701	24657
1190	7706	24647
1191	7712	24640
1192	7719	24632
1193	7725	24626
1194	7730	24613
1195	7735	24602
1196	7741	24595
1197	7746	24582
1198	7751	24572
1199	7757	24565
1200	7763	24557
1201	7768	24546
1202	7774	24539
1203	7780	24530
1204	7789	24531
1205	7796	24527
1206	7802	24520
1207	7809	24515
1208	7814	24503
1209	7821	24497
1210	7826	24487
1211	7830	24474
1212	7835	24464
1213	7841	24455
1214	7846	24443
1215	7852	24437
1216	7857	24424
1217	7862	24412
1218	7867	24403
1219	7872	24390
1220	7877	24379
1221	7881	24366
1222	7886	24356
1223	7891	24344
1224	7895	24331
1225	7902	24325
1226	7907	24315
1227	7912	24304
1228	7919	24301
1229	7924	24288
1230	7929	24276
1231	7935	24269
1232	7940	24258
1233	7945	24248
1234	7951	24241
1235	7957	24233
1236	7963	24226
1237	7968	24215
1238	7975	24208
1239	7982	24205
1240	7990	24203
1241	7996	24196
1242	8003	24189
1243	8008	24179
1244	8015	24176
1245	8020	24165
1246	8025	24154
1247	8033	24150
1248	8037	24138
1249	8042	24126
1250	8048	24118
1251	8052	24105
1252	8056	24092
1253	8063	24087
1254	8067	24075
1255	8072	24061
1256	8078	24054
1257	8082	24041
1258	8087	24031
1259	8092	24021
1260	8098	24011
1261	8103	24002
1262	8108	23991
1263	8113	23982
1264	8117	23968
1265	8122	23955
1266	8127	23947
1267	8132	23936
1268	8137	23924
1269	8143	23918
1270	8147	23904
1271	8153	23895
1272	8161	23895
1273	8167	23887
1274	8174	23882
1275	8182	23879
1276	8190	23878
1277	8196	23871
1278	8202	23862
1279	8209	23858
1280	8214	23847
1281	8219	23836
1282	8225	23831
1283	8230	23819
1284	8235	23809
1285	8240	23800
1286	8246	23789
1287	8250	23777
1288	8257	23773
1289	8263	23766
1290	8269	23757
1291	8274	23748
1292	8279	23737
1293	8284	23727
1294	8291	23721
1295	8296	23711
1296	8302	23705
1297	8307	23694
1298	8312	23683
1299	8318	23675
1300	8322	23663
1301	8327	23652
1302	8332	23640
1303	8338	23634
1304	8343	23624
1305	8348	23612
1306	8355	23609
1307	8361	23600
1308	8368	23596
1309	8374	23590
1310	8383	23589
1311	8389	23582
1312	8395	23574
1313	8402	23571
1314	8407	23560
1315	8411	23548
1316	8418	23543
1317	8423	23531
1318	8428	23521
1319	8435	23517
1320	8440	23506
1321	8446	23498
1322	8451	23489
1323	8456	23478
1324	8461	23469
1325	8466	23458
1326	8471	23447
1327	8475	23435
1328	8482	23430
1329	8487	23420
1330	8492	23410
1331	8499	23404
1332	8503	23391
1333	8508	23381
1334	8514	23374
1335	8518	23362
1336	8523	23352
1337	8529	23345
1338	8534	23335
1339	8539	23325
1340	8548	23324
1341	8553	23316
1342	8560	23311
1343	8567	23305
1344	8575	23303
1345	8583	23300
1346	8588	23292
1347	8596	23289
