failCount_month,lifeTime_month,activeLife_month
1,2630880,2678400
4,4947138,5097600
1,4618863,5097600
5,2959216,5097600
2,1330481,2678400
2,2678399,2678400
5,3228464,5097600
3,3218682,5097600
2,2513113,2678400
4,3212715,5097600
1,3235868,5097600
1,2871828,5097600
2,1763241,2764800
2,2351057,2678400
2,1739513,2678400
2,1309626,2678400
0,2616023,2678400
2,2265754,2678400
2,1339417,2678400
2,2369498,2678400
1,2275076,2678400
1,2280903,2678400
1,1321986,2678400
2,1639792,2764800
0,1313496,2678400
2,1160323,2678400
2,815968,2678400
2,1058319,2678400
1,807706,2678400
0,798822,2678400
4,1155294,2678400
4,1137358,2764800
3,7775999,7776000
0,548689,2678400
3,303793401,198685690
2,307350639,266457600
4,258209112,256439916
2,258361861,85260372
2,258281143,141156315
2,257845338,249105020
2,256642787,257390669
2,303048744,208017816
3,253440926,244867487
2,252831051,197664198
2,253538520,191980800
2,250945494,105840000
2,252825558,207619200
0,253015502,236995200
1,242627137,129081600
5,251195511,251696980
2,252840186,251833085
2,250603288,250127135
2,250599407,254198431
2,250591682,199578100
25,250426629,241920000
3,249978978,215654400
1,249970126,231379200
2,249216552,236304000
1,248786139,189388800
2,248355837,214442680
2,248340027,186796800
3,248165216,113097600
1,248083997,242105838
3,247834628,245298600
2,247571932,239414400
2,246881097,242041189
2,247322200,245281594
2,243231125,222507869
2,246704838,239241600
3,246618682,241833600
2,246263479,220752000
2,245504662,244502408
2,243854896,238103459
2,244958839,200376894
2,244895619,147139200
2,243689379,224718854
3,243931515,218160000
5,243675000,205395520
2,242648261,223430400
2,241954493,229993824
7,234512985,181353600
3,240742914,233625600
2,241779642,171331200
2,241340672,57542400
2,240752888,239561181
2,240839208,240367177
2,240143874,236872949
2,239359171,194832000
2,239027140,164558781
3,240221488,239241600
2,239541488,237937420
2,237208867,199497600
1,238485857,239241600
2,239105584,178588800
3,237280496,150336000
2,238937461,239068800
2,238497207,121219200
2,238839138,239762049
2,238764019,209242331
2,238499314,238727842
1,238420846,239241600
2,238158033,231026876
2,237817515,238705987
2,235376920,134784000
2,237888096,199843200
5,295697065,230860800
2,237029350,223567866
2,236085332,115430400
