Месяц,Всего аварий,Аварии простой,Аварии макс,Время жизни,Время активности,Звонков,Отбитые звонки,Неотвеченные,Цена тарифа,Скорость тарифа,Доп услуги,Смотрешка,Пол,Платежей,Тип платежа,Сумма платежей,Сервисная заявка,Отток
4,2,180,180,82208006,83970498,1,0,0,500,20,1,0,1,3,8,1600,0,0
4,2,6534,6354,81507230,67368373,0,0,0,800,50,0,0,1,2,6,1600,0,0
4,2,6534,6354,43933938,46331015,0,0,0,700,25,0,0,1,2,6,1200,0,0
4,2,6534,6354,73661991,68001173,0,0,0,700,25,0,0,1,0,0,0,0,0
4,2,11760,11580,71141807,70934400,0,0,0,500,20,0,0,1,2,6,1150,0,0
4,2,6534,6354,69764425,70852521,0,0,0,700,25,0,0,1,2,6,1300,0,0
4,2,6534,6354,66918766,65990199,0,0,0,700,25,0,0,1,2,6,1300,0,0
4,2,6534,6354,66471647,65664000,0,0,0,500,50,0,0,1,2,6,900,0,0
4,2,6534,6354,60938877,60912000,2,0,1,500,50,1,0,1,2,3,178,0,0
4,2,120,120,58974907,60652800,4,0,0,500,20,1,0,1,2,6,1200,3,0
4,2,6414,6354,58970180,58239970,0,0,0,700,25,1,0,1,2,6,1300,0,0
4,2,6617,6437,55943606,54432703,1,0,1,800,50,0,0,1,1,3,600,0,0
4,3,3300,3060,55235821,50025600,1,0,0,500,50,1,0,1,1,3,485,0,0
4,9,62280,45971,48774167,37065600,0,0,0,500,20,0,0,1,0,0,0,0,0
4,2,6534,6354,48250651,48568469,3,0,0,700,25,0,0,1,2,6,1300,1,0
4,1,240,240,47566802,47433600,4,2,0,700,5,0,0,1,2,6,1200,0,0
4,1,5086,5086,48072390,41978852,0,0,0,800,50,0,0,1,0,0,0,0,0
4,1,240,240,46249433,44928000,0,0,0,1100,300,1,1,1,3,6,2050,0,0
4,2,6534,6354,44630055,46404644,0,0,0,700,25,0,0,1,2,6,1200,0,0
4,0,0,0,38493319,28186025,0,0,0,800,50,0,0,1,0,0,0,0,0
4,2,6534,6354,40468444,42076800,1,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,33128053,31708800,0,0,0,700,25,1,0,1,1,3,700,0,0
4,2,6534,6354,30364600,31622400,0,0,0,700,25,0,0,1,2,6,1300,0,0
4,2,6534,6354,37008028,39398400,0,0,0,800,50,0,0,1,2,6,1700,0,0
4,2,6534,6354,36507536,36806400,0,0,0,500,20,0,0,1,1,3,500,0,0
4,3,6746,6506,35974286,36806400,0,0,0,600,25,1,0,1,2,6,1342,0,1
4,1,60,60,35015439,36806400,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,1,240,240,34776923,36806400,0,0,0,500,20,1,0,1,2,6,1800,0,0
4,2,6534,6354,23364709,23587200,0,0,0,800,50,0,1,1,2,6,1600,0,0
4,0,0,0,31153503,21081600,0,0,0,600,25,1,0,1,0,0,0,0,0
4,4,3120,3000,32174564,34128000,1,0,0,500,20,1,0,1,1,3,400,0,0
4,2,6534,6354,31571662,31536000,4,0,1,800,50,0,0,1,1,3,850,1,1
4,2,6534,6354,31044061,29030400,0,0,0,700,25,1,0,1,2,6,1300,0,0
4,2,6534,6354,31296655,31622400,0,0,0,700,25,0,0,1,2,6,1500,0,0
4,3,3300,3060,30357447,21168000,0,0,0,600,25,0,0,1,0,0,0,0,0
4,2,6534,6354,29416554,15724800,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,29056767,31449600,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,29060177,31449600,16,12,0,1150,100,0,0,1,2,6,2100,4,0
4,2,6534,6354,26997238,29038436,2,1,1,1150,100,0,0,1,2,3,1950,0,0
4,2,6534,6354,28193307,23587200,0,0,0,800,50,0,0,1,2,6,1500,0,0
4,2,6534,6354,28199390,28944000,5,2,0,800,50,1,0,1,2,6,1400,1,0
4,2,6534,6354,27003601,28051048,0,0,0,800,50,1,1,1,2,6,1700,0,0
4,2,6534,6354,17296871,18403200,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6594,6354,25794830,18316800,1,0,0,500,50,1,0,1,1,3,700,0,1
4,2,180,180,25621248,26265600,1,0,0,500,50,1,0,1,2,6,1400,0,0
4,2,6534,6354,25187593,26352000,0,0,0,800,50,0,0,1,2,6,1500,0,0
4,2,6534,6354,25176458,26352000,9,2,2,800,50,0,1,1,2,6,2550,3,0
4,1,240,240,23373019,23587200,0,0,0,500,20,1,0,1,2,6,1400,0,0
4,2,6534,6354,14804064,15724800,0,0,0,800,50,1,0,1,2,6,1650,0,0
4,2,6534,6354,22669622,23673600,0,0,0,500,50,1,0,1,3,6,1450,0,0
4,4,3300,1740,22753007,23587200,0,0,0,600,25,1,0,1,2,6,1250,0,0
4,2,6534,6354,20864378,21081600,0,0,0,800,50,0,0,1,1,3,700,0,0
4,2,180,180,20589724,21081600,1,0,0,500,50,1,0,1,2,6,1400,0,0
4,2,300,300,20155049,20995200,0,0,0,650,100,1,0,1,2,6,1110,0,0
4,2,6534,6354,19375136,21081600,0,0,0,900,100,0,0,1,2,6,1800,0,0
4,2,300,300,19381380,21081600,3,1,0,500,50,0,0,1,2,6,900,0,0
4,2,6534,6354,18770831,21081600,0,0,0,500,20,1,0,1,2,6,1300,0,0
4,2,6534,6354,18341255,20736000,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,16681458,18403200,1,1,0,800,50,0,0,1,2,6,1400,0,0
